dep_id,site_name,dev_stat,fips_code,huc_code,quad_code,url,code_list,commodity_group,treaty_territory,treaty_status,legal_citation,tk_label,tk_label_note,care_collective_benefit,visibility_level,phase_ii_sensitivity,tribal_review_required,redistribution_allowed,ieee_2890_compliant,data_steward_phase1,data_steward_note,prov_source,prov_source_url,ai_generated,human_verified
10008448,"Moores, False Bottom Creek",occurrence,f46081,h10120203,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10008448,MO,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055430,Homestake Mine - 1945,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055430,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055431,Homestake Mine - 1946,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055431,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055432,Homestake Mine - 1947,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055432,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055433,Homestake Mine - 1949,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055433,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055434,Homestake Mine - 1952,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055434,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055435,Homestake Mine - 1954,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055435,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055436,Homestake Mine - 1955,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055436,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055437,Homestake Mine - 1957,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055437,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055438,Homestake Mine - 1959,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055438,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055439,Homestake Mine - 1961,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055439,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055440,Homestake Mine - 1963,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055440,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055441,Homestake Mine - 1964,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055441,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055442,Homestake Mine - 1966,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055442,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055443,Homestake Mine - 1968,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055443,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055444,Homestake Mine - 1970,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055444,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
10055445,Homestake Mine - 1972,producer,f46081,h10120202,q45104SWB2,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055445,AU AG,other,1868 Fort Laramie Treaty He Sapa (Black Hills),"Unceded Lakota territory. The 1877 Congressional act taking He Sapa was ruled unconstitutional by the US Supreme Court in United States v. Sioux Nation of Indians (1980). The Treaty Nations have declined compensation, maintaining that the land was never legally transferred.","United States v. Sioux Nation of Indians, 448 U.S. 371 (1980)",TK Notice,Indigenous interests exist in all records describing He Sapa. Contact originating Lakota communities before use. See: https://localcontexts.org/label/tk-notice/,This data describes He Sapa for purposes of historical documentation and environmental accountability. Results should benefit Lakota Nations who hold rights to this territory.,public,review_required,yes for any external publication or distribution,yes with attribution and TK Notice label,True,"Daear Consulting, LLC",Phase I stewardship is temporary. Transfer to Lakota Nation stewardship is the intended Phase II outcome.,USGS Mineral Resources Data System (MRDS),https://mrdata.usgs.gov/mrds/,False,False
